corpName,stockCode,corpCode
한빛네트,036720,00260985
엔플렉스,040130,00264529
동서정보기술,055000,00358545
애드모바일,032600,00231567
씨모스,037600,00247939
리더컴,056140,00359614
허메스홀딩스,012400,00153551
유티엑스,045880,00344746
글로포스트,037830,00261188
쏠라엔텍,030390,00268020
보홍,041320,00269287
동북아1호선박투자회사,078420,00475286
에듀아크,046350,00250775
데코,013650,00114321
엘앤씨피,015390,00191108
희훈디앤지,019640,00167378
퓨쳐인포넷,058690,00225210
쓰리디넷,035400,00223346
제일저축은행,024100,00174129
제일창업투자,026540,00114826
현대DSF,016510,00173333
네프로아이티,950030,00687599
자강,036790,00256292
케이엠에스,038830,00271431
에버리소스,020070,00154727
제이에스,037110,00246189
태창기업,007490,00154204
에이치비이에너지,017300,00152631
남한제지,001950,00107923
코어비트,056850,00358095
동북아8호선박투자회사,082110,00510215
한국통신데이타,045760,00347619
케너텍,062730,00372013
다휘,055250,00353735
코오롱아이넷,022520,00186540
캠브리지코오롱,004620,00128759
네오세미테크,089240,00535588
디에이치패션,045260,00264981
핸디소프트,032380,00231521
케이엠에이치,009690,00159908
씨엘엘씨디,035710,00259493
현대푸드시스템,114410,00359641
고제,002540,00103325
메리츠종합금융,012420,00161639
제넥셀세인,034660,00211271
쓰리디월드,065340,00388272
스톰이앤에프,043680,00264796
소예,035010,00134909
엠엔에프씨,048640,00236368
하이트맥주,103150,00684547
보광티에스,066690,00251385
아인스엠앤엠,040740,00262682
씨엔씨엔터프라이즈,038420,00234555
아이알디,084810,00507257
바이나믹,067850,00417963
코크렙제7호위탁관리부동산투자회사,086720,00543523
엔빅스,054170,00300566
선팩테크,054010,00299376
마이크로닉스,001190,00112068
블루스톤디앤아이,033720,00257194
신지소프트,078700,00477372
맥쿼리센트럴오피스기업구조조정부동산투자회사,076850,00465410
테스텍,048510,00331760
중앙디자인,030030,00200761
에코페트로시스템,042870,00268297
한림창업투자,021060,00161301
헤쎄나,036270,00237260
미래에셋굿라이프혼합형자녀를위한투자회사10-1,037510,00297970
일공공일안경콘택트,032030,00107358
신동방CP,004660,00115427
지앤알,043630,00267474
셀런,013240,00134051
한국베트남15-1유전해외자원개발투자회사,093820,00596066
에이치원바이오,052310,00347363
