종목코드,종목명,현재가,대비,등락률(%),매도호가,매수호가,거래량(주),거래대금(원),시가,고가,저가,액면가,통화구분,상장주식수(주),상장시가총액(원),총카운트
060310,3S,"2,185","10","0.46","2,190","2,185","244,835","534,528,480","2,165","2,225","2,125","500",원(KRW),"44,802,511","97,893,486,535",2531
095570,AJ네트웍스,"4,385","25","0.57","4,390","4,385","183,639","799,014,915","4,310","4,450","4,270","1,000",원(KRW),"46,822,295","205,315,763,575",
006840,AK홀딩스,"25,000","200","0.81","25,000","24,950","125,264","3,124,306,700","24,600","25,300","24,250","5,000",원(KRW),"13,247,561","331,189,025,000",
054620,APS홀딩스,"7,190","-10","0.14","7,190","7,170","131,479","937,881,990","7,130","7,270","7,050","500",원(KRW),"20,394,221","146,634,448,990",
265520,AP시스템,"24,900","-100","0.40","24,900","24,850","300,208","7,427,771,100","24,900","25,200","24,350","500",원(KRW),"14,480,227","360,557,652,300",
211270,AP위성,"8,000","100","1.27","8,000","7,960","156,999","1,267,551,710","7,890","8,240","7,820","500",원(KRW),"15,014,804","120,118,432,000",
027410,BGF,"4,725","35","0.75","4,725","4,720","333,509","1,570,346,425","4,690","4,770","4,630","1,000",원(KRW),"95,716,791","452,261,837,475",
282330,BGF리테일,"140,500","5,000","3.69","140,500","140,000","89,517","12,423,156,500","137,000","141,500","134,000","1,000",원(KRW),"17,283,906","2,428,388,793,000",
138930,BNK금융지주,"5,940","220","3.85","5,940","5,930","6,466,669","38,116,163,750","5,760","5,990","5,720","5,000",원(KRW),"325,935,246","1,936,055,361,240",
001460,BYC,"315,500","2,000","0.64","316,500","315,000","885","277,733,500","317,000","317,500","312,000","5,000",원(KRW),"624,615","197,066,032,500",
001465,BYC우,"152,000","-4,000","2.56","152,000","151,000","302","45,918,500","153,500","155,000","150,500","5,000",원(KRW),"215,385","32,738,520,000",
001040,CJ,"98,300","-200","0.20","98,400","98,300","296,619","29,016,933,100","97,500","102,000","95,400","5,000",원(KRW),"29,176,998","2,868,098,903,400",
079160,CJ CGV,"28,150","2,000","7.65","28,150","28,100","2,564,920","71,276,248,150","26,150","29,150","25,500","500",원(KRW),"35,100,000","988,065,000,000",
035760,CJ ENM,"169,000","9,100","5.69","169,000","168,900","526,700","86,873,467,900","162,100","169,500","158,700","5,000",원(KRW),"21,929,154","3,706,027,026,000",
00104K,CJ4우(전환),"78,400","-300","0.38","78,600","78,400","23,449","1,813,566,300","78,100","80,000","75,100","5,000",원(KRW),"4,226,512","331,358,540,800",
000120,CJ대한통운,"172,000","2,000","1.18","172,000","171,500","88,355","15,035,017,500","171,500","172,000","168,000","5,000",원(KRW),"22,812,344","3,923,723,168,000",
011150,CJ씨푸드,"4,860","5","0.10","4,865","4,860","580,438","2,837,516,360","4,855","4,950","4,810","500",원(KRW),"35,930,773","174,623,556,780",
011155,CJ씨푸드1우,"38,700","1,500","4.03","38,800","38,600","371","14,140,400","37,600","39,000","37,600","500",원(KRW),"200,000","7,740,000,000",
001045,CJ우,"58,800","100","0.17","58,800","58,700","14,513","842,890,700","58,600","59,700","56,300","5,000",원(KRW),"2,260,223","132,901,112,400",
097950,CJ제일제당,"417,000","-7,000","1.65","417,000","416,500","98,843","40,874,401,500","423,500","423,500","406,000","5,000",원(KRW),"15,054,186","6,277,595,562,000",
097955,CJ제일제당 우,"177,000","-3,500","1.94","177,500","177,000","10,319","1,819,530,000","180,000","180,000","174,000","5,000",원(KRW),"1,327,433","234,955,641,000",
051500,CJ프레시웨이,"20,500","550","2.76","20,500","20,450","179,879","3,642,652,850","20,000","20,650","19,450","1,000",원(KRW),"11,871,586","243,367,513,000",
058820,CMG제약,"5,630","-150","2.60","5,640","5,630","2,718,383","15,491,252,510","5,780","5,860","5,520","500",원(KRW),"138,892,244","781,963,333,720",
023460,CNH,"2,365","-15","0.63","2,365","2,350","47,180","111,244,670","2,380","2,400","2,325","2,500",원(KRW),"37,200,000","87,978,000,000",
065770,CS,"2,260","-20","0.88","2,260","2,255","123,292","278,653,535","2,275","2,295","2,225","500",원(KRW),"18,835,150","42,567,439,000",
083660,CSA 코스믹,"2,065","30","1.47","2,070","2,065","51,041","103,678,040","2,065","2,065","2,005","500",원(KRW),"37,072,045","76,553,772,925",
000590,CS홀딩스,"61,900","200","0.32","61,900","61,700","9,857","616,065,600","62,000","63,500","61,400","5,000",원(KRW),"1,154,482","71,462,435,800",
012030,DB,"836","-4","0.48","836","834","1,727,946","1,439,496,557","820","853","819","500",원(KRW),"201,173,933","168,181,407,988",
367340,DB금융스팩8호,"2,025","10","0.50","2,025","2,020","20,681","41,975,025","2,015","2,030","2,015","100",원(KRW),"6,050,000","12,251,250,000",
016610,DB금융투자,"5,490","-240","4.19","5,500","5,490","578,421","3,234,407,420","5,740","5,780","5,390","5,000",원(KRW),"42,446,389","233,030,675,610",
005830,DB손해보험,"42,700","-50","0.12","42,700","42,550","297,675","12,628,933,200","43,000","43,000","42,050","500",원(KRW),"70,800,000","3,023,160,000,000",
000990,DB하이텍,"61,900","5,700","10.14","61,900","61,800","7,038,777","426,166,687,100","55,700","63,900","55,000","5,000",원(KRW),"44,398,588","2,748,272,597,200",
000995,DB하이텍1우,"123,500","1,000","0.82","125,000","123,500","6,454","811,209,000","124,000","131,000","120,000","5,000",원(KRW),"112,316","13,871,026,000",
139130,DGB금융지주,"7,150","130","1.85","7,160","7,150","802,159","5,733,003,930","7,050","7,210","7,000","5,000",원(KRW),"169,145,833","1,209,392,705,950",
001530,DI동일,"162,500","-6,500","3.85","163,000","162,500","51,689","8,241,013,500","166,000","168,500","154,500","5,000",원(KRW),"2,465,609","400,661,462,500",
068790,DMS,"8,780","100","1.15","8,790","8,780","452,741","3,947,526,900","8,670","8,850","8,490","500",원(KRW),"24,573,061","215,751,475,580",
004840,DRB동일,"7,330","40","0.55","7,330","7,320","120,027","880,080,810","7,290","7,490","7,220","500",원(KRW),"19,930,000","146,086,900,000",
241520,DSC인베스트먼트,"5,550","70","1.28","5,550","5,510","371,045","2,051,643,850","5,500","5,670","5,410","500",원(KRW),"18,538,829","102,890,500,950",
155660,DSR,"5,900","-120","1.99","5,900","5,890","249,349","1,454,472,000","6,050","6,060","5,650","500",원(KRW),"16,000,000","94,400,000,000",
069730,DSR제강,"4,910","-30","0.61","4,910","4,900","156,493","762,438,855","4,910","4,930","4,800","500",원(KRW),"14,400,000","70,704,000,000",
017940,E1,"42,350","550","1.32","42,400","42,350","22,894","960,039,350","41,850","42,650","41,450","5,000",원(KRW),"6,860,000","290,521,000,000",
245620,EDGC,"9,740","0","0.00","9,740","9,730","241,245","2,348,087,680","9,740","9,880","9,590","100",원(KRW),"42,914,531","417,987,531,940",
037370,EG,"10,850","300","2.84","10,850","10,800","297,957","3,188,690,350","10,500","11,500","10,150","1,000",원(KRW),"7,500,000","81,375,000,000",
079190,EMW,"2,780","0","0.00","0","0","0","0","0","0","0","500",원(KRW),"31,784,197","88,360,067,660",
365550,ESR켄달스퀘어리츠,"5,230","80","1.55","5,230","5,220","724,948","3,761,207,800","5,150","5,230","5,090","1,000",원(KRW),"143,259,000","749,244,570,000",
007700,F&F,"86,800","2,700","3.21","86,800","86,700","147,185","12,552,395,300","84,300","86,900","82,900","500",원(KRW),"15,400,000","1,336,720,000,000",
130500,GH신소재,"7,310","-150","2.01","7,340","7,310","208,510","1,564,356,280","7,370","7,690","7,310","500",원(KRW),"11,000,000","80,410,000,000",
114090,GKL,"16,200","350","2.21","16,200","16,150","707,772","11,407,927,200","15,750","16,450","15,600","500",원(KRW),"61,855,670","1,002,061,854,000",
900290,GRT,"951","0","0.00","0","0","0","0","0","0","0","0",중국위안(CNY),"67,375,000","64,073,625,000",
078930,GS,"40,050","150","0.38","40,050","40,000","697,899","27,899,931,100","39,900","40,700","39,350","5,000",원(KRW),"92,915,378","3,721,260,888,900",
083450,GST,"16,550","-150","0.90","16,650","16,550","132,628","2,206,790,000","16,650","16,950","16,400","500",원(KRW),"9,317,745","154,208,679,750",
006360,GS건설,"42,750","-200","0.47","42,750","42,700","1,445,362","61,139,942,250","42,850","43,350","40,700","5,000",원(KRW),"80,370,313","3,435,830,880,750",
001250,GS글로벌,"2,210","-25","1.12","2,210","2,205","1,182,680","2,628,861,755","2,215","2,280","2,175","2,500",원(KRW),"82,533,764","182,399,618,440",
007070,GS리테일,"36,150","-100","0.28","36,200","36,150","641,386","23,452,114,500","36,000","37,400","35,600","1,000",원(KRW),"77,000,000","2,783,550,000,000",
078935,GS우,"30,400","50","0.16","30,400","30,350","7,391","223,913,150","30,200","30,550","30,050","5,000",원(KRW),"1,784,826","54,258,710,400",
028150,GS홈쇼핑,"139,900","400","0.29","140,000","139,900","35,609","4,998,934,800","139,000","141,700","138,000","5,000",원(KRW),"6,562,500","918,093,750,000",
045890,GV,"410","-20","4.65","410","409","16,147,364","7,473,755,190","441","522","402","500",원(KRW),"75,067,352","30,777,614,320",
078150,HB테크놀러지,"2,325","15","0.65","2,330","2,325","1,543,191","3,567,365,710","2,295","2,365","2,260","500",원(KRW),"78,990,426","183,652,740,450",
012630,HDC,"10,850","0","0.00","10,900","10,850","744,052","8,092,178,100","10,900","11,050","10,700","5,000",원(KRW),"59,741,721","648,197,672,850",
039570,HDC아이콘트롤스,"10,500","250","2.44","10,500","10,450","82,877","854,720,800","10,350","10,500","10,050","500",원(KRW),"16,460,000","172,830,000,000",
089470,HDC현대EP,"6,900","-390","5.35","6,900","6,890","776,623","5,441,147,210","7,250","7,260","6,830","500",원(KRW),"31,900,000","220,110,000,000",
294870,HDC현대산업개발,"28,100","1,100","4.07","28,150","28,100","2,472,988","69,144,115,100","27,000","28,650","26,600","5,000",원(KRW),"65,907,330","1,851,995,973,000",
011200,HMM,"14,850","-350","2.30","14,900","14,850","8,445,013","126,123,801,250","14,900","15,600","14,400","5,000",원(KRW),"326,726,323","4,851,885,896,550",
036640,HRS,"5,140","-60","1.15","5,140","5,130","173,184","876,986,420","5,200","5,200","4,990","500",원(KRW),"16,354,800","84,063,672,000",
082740,HSD엔진,"8,100","180","2.27","8,100","8,090","1,023,862","8,272,438,720","7,930","8,250","7,760","1,000",원(KRW),"32,947,142","266,871,850,200",
335870,IBKS제12호스팩,"2,145","-10","0.46","2,160","2,145","17,692","37,971,800","2,125","2,155","2,125","100",원(KRW),"3,120,000","6,692,400,000",
351340,IBKS제13호스팩,"2,115","25","1.20","2,115","2,080","73","152,065","2,075","2,125","2,075","100",원(KRW),"5,170,000","10,934,550,000",
351320,IBKS제14호스팩,"2,120","0","0.00","2,120","2,090","2,652","5,613,610","2,130","2,130","2,090","100",원(KRW),"4,330,000","9,179,600,000",
003560,IHQ,"1,525","25","1.67","1,530","1,525","954,108","1,460,617,570","1,520","1,555","1,505","500",원(KRW),"146,235,748","223,009,515,700",
095340,ISC,"25,500","1,000","4.08","25,550","25,500","487,594","12,181,961,800","24,500","25,600","23,900","500",원(KRW),"14,142,508","360,633,954,000",
099520,ITX-AI,"2,300","-10","0.43","2,300","2,295","124,483","287,493,265","2,310","2,390","2,250","500",원(KRW),"29,301,683","67,393,870,900",
